Time,PPG_Signal
0.43016,2.3681640625
0.4327337,2.373046875
0.4514006,2.4072265625
0.4707784,2.5146484375
0.5064013,2.607421875
0.526683,2.7099609375
0.5340107,2.79296875
0.5846055,2.861328125
0.5849324,2.900390625
0.5938175,2.939453125
0.6118118,2.9296875
0.6466637,2.919921875
0.650116,2.8857421875
0.6933895,2.841796875
0.6936395,2.7880859375
0.7283753,2.763671875
0.7331571,2.734375
0.766717,2.705078125
0.7881231,2.67578125
0.7884667,2.6513671875
0.8322973,2.6220703125
0.8325831,2.5927734375
0.8530598,2.5634765625
0.8867091,2.529296875
0.8915503,2.4951171875
0.9251801,2.4609375
0.9472258,2.4267578125
0.9548812,2.3974609375
0.9887746,2.34375
0.9906381,2.2900390625
1.0240845,2.2900390625
1.0452829,2.28515625
1.0508716,2.275390625
1.0960802,2.275390625
1.0964799,2.2998046875
1.1169992,2.3876953125
1.1356692,2.4853515625
1.1551425,2.6123046875
1.1702762,2.705078125
1.2048629,2.802734375
1.2259651,2.861328125
1.2328069,2.9150390625
1.2815816,2.9345703125
1.28199,2.939453125
1.3024423,2.9052734375
1.316168,2.861328125
1.331689,2.802734375
1.3664717,2.7734375
1.3704679,2.7490234375
1.4026166,2.7197265625
1.4246729,2.6953125
1.4338639,2.666015625
1.4830513,2.6416015625
1.4833195,2.607421875
1.5049742,2.587890625
1.5121936,2.5439453125
1.5621691,2.5244140625
1.5624195,2.4951171875
1.5734871,2.4609375
1.5939685,2.4267578125
1.6368504,2.40234375
1.637153,2.3779296875
1.6568625,2.3486328125
1.6753429,2.32421875
1.6917528,2.2900390625
1.7263935,2.2705078125
1.7464762,2.2705078125
1.754065,2.314453125
1.7927046,2.392578125
1.7929737,2.509765625
1.8274798,2.6171875
1.8485338,2.724609375
1.8568424,2.7978515625
1.8935453,2.87109375
1.8939589,2.8955078125
1.9337007,2.9248046875
1.9340905,2.91015625
1.9795004,2.8857421875
1.9798422,2.8369140625
1.9958725,2.8076171875
2.0416083,2.7783203125
2.0427383,2.7392578125
2.0552065,2.7099609375
2.0720694,2.6806640625
2.1080049,2.65625
2.1134067,2.626953125
2.1330106,2.59765625
2.1683542,2.568359375
2.1879156,2.5341796875
2.197036,2.5048828125
2.2412595,2.4658203125
2.2415098,2.44140625
2.2532914,2.431640625
2.2891537,2.4072265625
2.2935145,2.3876953125
2.3273551,2.3779296875
2.349067,2.353515625
2.3551823,2.3388671875
2.390496,2.314453125
2.3958681,2.32421875
2.4121557,2.3486328125
2.456768,2.4365234375
2.4571693,2.5390625
2.4777604,2.6513671875
2.4960119,2.7392578125
2.5334851,2.83203125
2.5338282,2.880859375
2.5827514,2.9150390625
2.5830187,2.9150390625
2.6025528,2.8564453125
2.6144612,2.783203125
2.6625547,2.7685546875
2.6628141,2.7392578125
2.6741455,2.7099609375
2.7236723,2.685546875
2.7239179,2.6611328125
2.744021,2.6416015625
2.7575838,2.6123046875
2.792499,2.587890625
2.7928003,2.55859375
2.8267441,2.5341796875
2.8469408,2.5048828125
2.8543747,2.4755859375
2.8878026,2.4462890625
2.9093307,2.4169921875
2.9154122,2.392578125
2.956852,2.3681640625
2.9571742,2.3486328125
2.9736876,2.3193359375
3.0175192,2.3095703125
3.0178114,2.2900390625
