fs,t,y
50.90926369878026,237.6848603,2.0068359375
,237.7040373,1.9921875
,237.7382231,1.97265625
,237.7586049,1.9580078125
,237.7675506,1.943359375
,237.7810124,1.923828125
,237.8166538,1.9140625
,237.8209869,1.89453125
,237.8582424,1.8798828125
,237.8637673,1.8603515625
,237.8995973,1.8408203125
,237.9042873,1.81640625
,237.9394861,1.796875
,237.9466592,1.77734375
,237.9631856,1.7578125
,238.0100288,1.748046875
,238.0104279,1.7333984375
,238.0237013,1.71875
,238.0594931,1.7041015625
,238.0645748,1.69921875
,238.0997039,1.689453125
,238.1195971,1.6748046875
,238.1251629,1.6748046875
,238.1429785,1.6845703125
,238.162282,1.728515625
,238.1969996,1.7822265625
,238.2175876,1.845703125
,238.2243532,1.89453125
,238.261428,1.943359375
,238.2662439,1.9775390625
,238.301343,2.0068359375
,238.3055259,2.0166015625
,238.3278681,2.021484375
,238.3430127,2.021484375
,238.3776419,2.01171875
,238.3821935,2.001953125
,238.4168855,1.9921875
,238.4373108,1.982421875
,238.4439266,1.97265625
,238.4782637,1.9580078125
,238.50615,1.9384765625
,238.5065873,1.9189453125
,238.554126,1.89453125
,238.5544605,1.875
,238.5635205,1.8603515625
,238.59894,1.8408203125
,238.6028958,1.826171875
,238.6376826,1.8017578125
,238.660661,1.77734375
,238.6647882,1.7578125
,238.7070508,1.73828125
,238.7074813,1.7236328125
,238.741124,1.708984375
,238.7455324,1.6943359375
,238.7850567,1.6943359375
,238.7855005,1.6796875
,238.8309808,1.6650390625
,238.8312679,1.6552734375
,238.8512363,1.66015625
,238.8625625,1.669921875
,238.9092444,1.7138671875
,238.9099013,1.7626953125
,238.9235061,1.8212890625
,238.9696083,1.875
,238.9699664,1.923828125
,238.986413,1.9580078125
,239.0222035,1.982421875
,239.0251834,1.9970703125
,239.058826,2.001953125
,239.0788328,1.9970703125
,239.0834667,2.001953125
,239.1190384,1.9873046875
,239.1393847,1.9775390625
,239.1468356,1.9677734375
