Time,PPG_Signal
0.6741859,1.123046875
0.6963217,1.1572265625
0.7011843,1.2255859375
0.7355723,1.3037109375
0.7397388,1.3623046875
0.7747196,1.40625
0.8006209,1.4208984375
0.8008821,1.4306640625
0.845547,1.42578125
0.8457489,1.4208984375
0.8608316,1.4013671875
0.9089534,1.38671875
0.9092625,1.3720703125
0.9216932,1.34765625
0.9571411,1.328125
0.9778747,1.3037109375
0.9781383,1.298828125
1.0151016,1.2890625
1.0196613,1.2890625
1.0412699,1.2841796875
1.0608628,1.2841796875
1.1128131,1.2744140625
1.1130637,1.2744140625
1.1171804,1.259765625
1.152516,1.2548828125
1.1723874,1.2158203125
1.1785405,1.2109375
1.2141305,1.1962890625
1.2340808,1.1865234375
1.241071,1.171875
1.2793324,1.1474609375
1.2795342,1.1181640625
1.3174445,1.0888671875
1.3387947,1.0595703125
1.3390093,1.03515625
1.3729336,1.03515625
1.3938749,1.0693359375
1.4007881,1.1572265625
1.4350005,1.240234375
1.4570034,1.318359375
1.4644028,1.3623046875
1.4858212,1.3916015625
1.4994897,1.396484375
1.5374555,1.3916015625
1.5424409,1.376953125
1.5613201,1.357421875
1.5999226,1.3330078125
1.6001223,1.3037109375
1.6456521,1.279296875
1.6458494,1.2451171875
1.6654916,1.220703125
1.6798188,1.1962890625
1.7218269,1.19140625
1.7220234,1.1865234375
1.7567998,1.1865234375
1.7618791,1.1767578125
1.7834455,1.171875
1.8037127,1.15234375
1.8467612,1.1328125
1.8471122,1.1083984375
1.8604491,1.103515625
1.8810396,1.0888671875
1.9014289,1.07421875
1.9206862,1.064453125
1.9722418,1.0498046875
1.9725532,1.044921875
1.9821896,1.03515625
2.004567,1.0302734375
2.0247993,1.0205078125
2.0447145,1.0302734375
2.0603594,1.07421875
2.096856,1.1669921875
2.1021316,1.2548828125
2.1223067,1.337890625
2.1419251,1.3818359375
2.1876144,1.4111328125
2.1879608,1.416015625
2.2021202,1.4013671875
2.2363824,1.3720703125
2.2582136,1.3427734375
2.2585599,1.3134765625
2.2924697,1.26953125
2.3136484,1.2353515625
2.3242913,1.2060546875
2.3430048,1.1865234375
2.3895713,1.1767578125
2.3898303,1.1865234375
2.4002979,1.1865234375
2.4509954,1.1962890625
2.4512107,1.201171875
2.4619139,1.1962890625
2.4820176,1.181640625
2.5288443,1.171875
2.5291345,1.162109375
2.5425019,1.142578125
2.5787209,1.1279296875
2.6068913,1.11328125
2.6071546,1.103515625
2.6208812,1.09375
2.6557912,1.09375
2.6847712,1.083984375
2.6850301,1.0888671875
2.7044381,1.103515625
2.7237529,1.1669921875
2.7410602,1.2451171875
2.7782676,1.337890625
2.7813436,1.4013671875
2.8257625,1.4501953125
2.8260723,1.4697265625
2.8431874,1.4697265625
2.888437,1.455078125
2.8886492,1.4306640625
2.9037796,1.40625
2.9238538,1.3623046875
2.9663918,1.3232421875
2.9665908,1.2890625
2.9823623,1.2646484375
3.0190527,1.25
3.0410395,1.2548828125
3.0456685,1.2548828125
3.064765,1.259765625
3.1012884,1.259765625
3.1043981,1.25
3.137923,1.2353515625
3.1422125,1.23046875
3.1938581,1.220703125
3.1941823,1.201171875
3.2048143,1.181640625
3.2236351,1.1669921875
3.2699715,1.15234375
3.2702873,1.1376953125
3.2896077,1.1328125
3.3016539,1.123046875
3.3487254,1.1376953125
3.3490781,1.1865234375
3.3793437,1.2744140625
3.3846693,1.357421875
3.4048882,1.435546875
3.4405646,1.4794921875
3.4456282,1.5087890625
3.4800568,1.5185546875
3.5023189,1.5087890625
3.5025392,1.4990234375
3.5516041,1.484375
3.5518972,1.4697265625
3.5799067,1.4404296875
3.5819909,1.4111328125
3.6176291,1.38671875
3.6415512,1.3671875
3.6433532,1.3525390625
3.6775697,1.328125
3.697322,1.3232421875
3.7022843,1.3330078125
3.7370236,1.328125
3.7590712,1.3232421875
3.7645054,1.3037109375
3.7845017,1.2890625
3.8216667,1.26953125
3.8239648,1.2451171875
3.8597608,1.220703125
3.8823033,1.1962890625
3.8826235,1.1767578125
3.9193171,1.1669921875
3.9244173,1.162109375
3.9712877,1.171875
3.9716521,1.2255859375
3.9909839,1.298828125
4.005193,1.376953125
4.0220645,1.4306640625
4.0634605,1.474609375
4.0639974,1.494140625
4.0859211,1.4990234375
4.1048352,1.4990234375
4.1395259,1.4794921875
4.1595988,1.4697265625
4.1659983,1.4501953125
4.2044458,1.4306640625
4.2047355,1.40625
4.2231114,1.3916015625
4.2432223,1.376953125
4.2818304,1.3720703125
4.3041433,1.3623046875
4.3044317,1.3623046875
4.3443404,1.357421875
4.3751168,1.34765625
4.3753514,1.337890625
4.3833345,1.328125
4.4196136,1.318359375
4.4214991,1.3134765625
4.4691231,1.298828125
4.4694755,1.2841796875
4.5003454,1.26953125
4.5060328,1.2548828125
4.5450718,1.240234375
4.5453379,1.2255859375
4.5799052,1.2255859375
4.5998819,1.25
4.6040578,1.3037109375
4.6403772,1.357421875
4.644567,1.4111328125
4.685488,1.4404296875
4.685834,1.46484375
4.7054611,1.46484375
4.7393827,1.46484375
4.7612512,1.4599609375
4.7615097,1.4453125
4.7960601,1.435546875
4.8181514,1.416015625
4.8249908,1.4013671875
4.8595387,1.3818359375
4.8789486,1.3671875
4.8859494,1.3525390625
4.931951,1.34765625
4.9322955,1.337890625
4.9520901,1.34765625
4.9635229,1.34765625
5.010125,1.3427734375
5.0104487,1.3330078125
5.0241361,1.3232421875
5.0590249,1.3037109375
5.0894396,1.2890625
5.0901966,1.26953125
5.1046801,1.25
5.1238964,1.2353515625
5.1662799,1.220703125
5.1666303,1.201171875
5.1859206,1.1865234375
5.2200339,1.1767578125
5.2425453,1.181640625
5.2474123,1.2255859375
5.2669295,1.279296875
5.2878905,1.3134765625
5.3047945,1.337890625
5.3411567,1.38671875
5.3465137,1.40625
5.3651521,1.4208984375
5.4131536,1.4208984375
5.4134732,1.416015625
5.4329671,1.40625
5.4459052,1.3916015625
5.4790773,1.3818359375
5.5011611,1.3623046875
5.5042213,1.34765625
5.5264036,1.337890625
5.5602025,1.3330078125
5.5663621,1.3232421875
5.6157357,1.3232421875
5.6160781,1.318359375
5.635907,1.3134765625
5.6428483,1.3037109375
5.6795081,1.2939453125
5.6993953,1.279296875
5.7055138,1.2744140625
5.7418005,1.259765625
5.7458287,1.240234375
5.7795583,1.2255859375
5.8007681,1.2060546875
5.8061245,1.19140625
