Time,PPG_Signal
0.1897751,1.03515625
0.2312305,1.083984375
0.231554,1.1572265625
0.2504585,1.259765625
0.284576,1.3525390625
0.3059319,1.455078125
0.3139095,1.533203125
0.3524963,1.611328125
0.3529079,1.6650390625
0.3699429,1.7236328125
0.4067874,1.7578125
0.4107958,1.7919921875
0.4473753,1.8017578125
0.4770546,1.7822265625
0.4773943,1.7529296875
0.491621,1.708984375
0.5253766,1.6650390625
0.5554216,1.62109375
0.555801,1.5966796875
0.570143,1.5576171875
0.5914125,1.5283203125
0.6382274,1.4892578125
0.6385555,1.455078125
0.6567301,1.416015625
0.6718193,1.3916015625
0.7064714,1.3525390625
0.7113182,1.328125
0.7357137,1.3037109375
0.7514673,1.2353515625
0.7755465,1.220703125
0.7922401,1.201171875
0.8278972,1.1865234375
0.8336514,1.162109375
0.8687917,1.142578125
0.8732612,1.1181640625
0.9114146,1.0986328125
0.9116733,1.0791015625
0.9419219,1.0791015625
0.972,1.0693359375
0.9722933,1.0595703125
1.0181207,1.044921875
1.0186147,1.0302734375
1.0496702,1.015625
1.0548111,1.0107421875
1.0971028,1.0205078125
1.0973703,1.0498046875
1.1118819,1.142578125
1.1570932,1.240234375
1.157502,1.3525390625
1.1716878,1.4501953125
1.2068161,1.552734375
1.2387617,1.630859375
1.2435197,1.7041015625
1.2502665,1.7578125
1.2858785,1.806640625
1.2899221,1.8359375
1.3237866,1.8505859375
1.3428098,1.8408203125
1.3524939,1.8115234375
1.3885477,1.77734375
1.411954,1.7236328125
1.4144408,1.6796875
1.4301278,1.640625
1.4723179,1.62109375
1.4727871,1.58203125
1.5030163,1.5576171875
1.5127458,1.513671875
1.5510491,1.484375
1.553133,1.4404296875
1.5889605,1.40625
1.6130728,1.3623046875
1.6150307,1.3037109375
1.6383712,1.25
1.6515431,1.2451171875
1.6909699,1.2158203125
1.6912161,1.2060546875
1.7280093,1.1865234375
1.7492585,1.162109375
1.7537571,1.142578125
1.7916915,1.123046875
1.796552,1.103515625
1.8118376,1.083984375
1.8322235,1.083984375
1.8669962,1.064453125
1.8765712,1.0498046875
1.8939106,1.0400390625
1.9398526,1.025390625
1.9402649,1.015625
1.9687352,1.0107421875
1.970417,1.025390625
2.0044272,1.0888671875
2.0249896,1.1865234375
2.0334764,1.2841796875
2.0789352,1.3916015625
2.0792788,1.4794921875
2.093778,1.5771484375
2.1287486,1.640625
2.1563208,1.708984375
2.1565783,1.748046875
2.1770638,1.7919921875
2.1926951,1.806640625
2.2283609,1.81640625
2.2539203,1.7919921875
2.2543271,1.7529296875
2.2909092,1.7041015625
2.2948061,1.6552734375
2.3276505,1.6064453125
2.3326336,1.5771484375
2.3687689,1.5478515625
2.3737377,1.5087890625
2.4095905,1.4794921875
2.4150916,1.4404296875
2.4523406,1.4111328125
2.4542626,1.376953125
2.4872448,1.34765625
2.5090847,1.3134765625
2.5172197,1.259765625
2.5328314,1.23046875
2.5706463,1.220703125
2.5753878,1.1962890625
2.5940227,1.181640625
2.6150299,1.1572265625
2.6619547,1.1376953125
2.6622218,1.123046875
2.6830452,1.0986328125
2.6948804,1.083984375
2.7270564,1.0693359375
2.7339764,1.0693359375
2.7719246,1.0595703125
2.7744003,1.044921875
2.8079105,1.0302734375
2.8289674,1.015625
2.8357598,1.0009765625
2.8803666,1.005859375
2.8806619,1.0302734375
2.8940413,1.1181640625
2.9282239,1.2158203125
2.9331622,1.328125
2.9701147,1.4208984375
2.9896638,1.5283203125
2.9958524,1.611328125
3.0407492,1.669921875
3.0413775,1.728515625
3.0605596,1.7626953125
