fs,t,y
50.293201070780974,239.1645323,1.5087890625
,239.1704486,1.5087890625
,239.2065623,1.50390625
,239.2096726,1.50390625
,239.2287409,1.4990234375
,239.2746155,1.494140625
,239.2752285,1.494140625
,239.2895129,1.494140625
,239.3095138,1.4892578125
,239.3525334,1.484375
,239.3532441,1.484375
,239.3703469,1.484375
,239.4073578,1.4794921875
,239.4109775,1.4794921875
,239.4481164,1.4794921875
,239.4485578,1.484375
,239.4826179,1.494140625
,239.5032569,1.50390625
,239.5085306,1.513671875
,239.5553689,1.5185546875
,239.5560401,1.5283203125
,239.5704689,1.5380859375
,239.6176212,1.54296875
,239.6183073,1.5478515625
,239.629932,1.5478515625
,239.6795335,1.552734375
,239.6800038,1.552734375
,239.6886058,1.552734375
,239.7248563,1.5478515625
,239.7304504,1.54296875
,239.7650409,1.5380859375
,239.7879292,1.5380859375
,239.7885339,1.5380859375
,239.8226586,1.533203125
,239.8428245,1.5283203125
,239.848552,1.5234375
,239.8828373,1.5234375
,239.9036469,1.5185546875
,239.9116163,1.513671875
,239.9318355,1.5087890625
,239.9473886,1.50390625
,239.9932689,1.50390625
,239.9939322,1.4990234375
,240.0096125,1.494140625
,240.0542667,1.4892578125
,240.0550044,1.4892578125
,240.0872396,1.4892578125
,240.0924409,1.484375
,240.1121484,1.484375
,240.1474646,1.4794921875
,240.1523489,1.4794921875
,240.1859985,1.474609375
,240.1891623,1.474609375
,240.224682,1.474609375
,240.2289361,1.4697265625
,240.2647449,1.4697265625
,240.2857997,1.474609375
,240.293761,1.4794921875
,240.3124036,1.484375
,240.3496179,1.494140625
,240.3501181,1.50390625
,240.3862492,1.513671875
,240.3895522,1.5234375
,240.4242498,1.5283203125
,240.4449882,1.533203125
,240.4531385,1.5380859375
,240.4726121,1.54296875
,240.5094744,1.54296875
,240.5100237,1.54296875
,240.528741,1.5380859375
,240.5661488,1.5380859375
,240.5690998,1.5380859375
,240.6024409,1.533203125
,240.6234669,1.5283203125
,240.6319327,1.5283203125
,240.668117,1.5234375
,240.6722603,1.5234375
,240.6887873,1.5185546875
,240.7275672,1.513671875
,240.7304411,1.5087890625
,240.7662926,1.5087890625
,240.771046,1.50390625
,240.8071915,1.50390625
,240.8104658,1.4990234375
,240.845876,1.494140625
,240.8659702,1.494140625
,240.8740587,1.4892578125
,240.8899801,1.4892578125
,240.9259236,1.484375
,240.9312969,1.4794921875
,240.9670301,1.4794921875
,240.988218,1.4794921875
,240.9916568,1.4794921875
,241.0264838,1.474609375
,241.0478059,1.4697265625
,241.0534999,1.4697265625
,241.0700067,1.4697265625
,241.0914152,1.4697265625
,241.1434545,1.46484375
,241.1441025,1.4697265625
,241.1517324,1.474609375
,241.1731823,1.484375
,241.2228192,1.494140625
,241.2233847,1.4990234375
,241.2525897,1.5087890625
,241.2530715,1.5185546875
,241.2724858,1.5283203125
,241.2908047,1.533203125
,241.3260912,1.533203125
,241.3487605,1.5380859375
,241.3520741,1.54296875
,241.3887545,1.54296875
,241.3942459,1.5380859375
,241.4134312,1.533203125
,241.446842,1.533203125
,241.4498914,1.533203125
,241.4883435,1.533203125
,241.5096528,1.5283203125
,241.5103137,1.5234375
,241.5468839,1.5234375
,241.5675481,1.5185546875
,241.5754492,1.5185546875
,241.6096918,1.513671875
,241.613659,1.5087890625
,241.6309758,1.5087890625
,241.6670522,1.50390625
,241.6724817,1.50390625
,241.7083368,1.4990234375
,241.7130798,1.494140625
,241.7494936,1.494140625
,241.755204,1.494140625
,241.7753126,1.4892578125
,241.7901845,1.4892578125
,241.83012,1.484375
,241.8601722,1.484375
,241.8606693,1.484375
,241.8711906,1.484375
,241.8939128,1.4794921875
,241.9396994,1.4794921875
,241.9403865,1.4794921875
,241.9546234,1.484375
,241.9712044,1.4892578125
,242.0080594,1.494140625
,242.011122,1.50390625
,242.0470929,1.513671875
,242.0806701,1.5185546875
,242.0812829,1.5283203125
,242.0937259,1.533203125
,242.1295428,1.533203125
,242.1344337,1.5380859375
,242.1554331,1.54296875
,242.1726097,1.54296875
,242.2080046,1.5380859375
,242.212969,1.533203125
,242.2524018,1.533203125
,242.2730633,1.533203125
,242.2737486,1.533203125
,242.3148606,1.5283203125
,242.3155443,1.5234375
,242.3504666,1.5234375
,242.3509226,1.5185546875
,242.3938035,1.5185546875
,242.3944661,1.513671875
,242.4124736,1.5087890625
,242.454466,1.5087890625
,242.4549445,1.5087890625
,242.4754965,1.50390625
,242.5131953,1.4990234375
,242.5138714,1.494140625
,242.5326587,1.494140625
,242.5542206,1.494140625
,242.5752968,1.4892578125
,242.6102668,1.484375
,242.6151604,1.484375
,242.6351712,1.484375
,242.6753065,1.484375
,242.6759824,1.4794921875
,242.6926025,1.4794921875
,242.7376551,1.474609375
,242.7382537,1.4794921875
,242.7551684,1.484375
,242.7742727,1.4892578125
,242.7940832,1.494140625
,242.8274765,1.50390625
,242.8491056,1.513671875
,242.8570443,1.5185546875
,242.8774634,1.5234375
,242.9257494,1.5283203125
,242.9264774,1.533203125
,242.9325145,1.5380859375
,242.9722521,1.5380859375
,242.9727865,1.5380859375
,243.0112364,1.5380859375
,243.0147239,1.533203125
,243.0501982,1.533203125
,243.0710433,1.533203125
,243.0743882,1.5283203125
,243.0940253,1.5234375
,243.1293262,1.5234375
,243.1576439,1.5234375
,243.1583033,1.5185546875
,243.1741268,1.5185546875
,243.2112314,1.513671875
,243.2161987,1.5087890625
,243.2534957,1.5087890625
,243.25422,1.50390625
,243.2914927,1.50390625
,243.2945284,1.4990234375
,243.3298861,1.494140625
,243.3341996,1.494140625
,243.3681152,1.494140625
,243.388305,1.4892578125
,243.3965337,1.4892578125
,243.412814,1.484375
,243.4507334,1.484375
,243.4718806,1.484375
,243.472548,1.4794921875
,243.5132915,1.4794921875
,243.5138433,1.4794921875
,243.5360275,1.4794921875
,243.5728463,1.484375
,243.5783039,1.484375
,243.5970056,1.4892578125
,243.6457183,1.4990234375
,243.6465172,1.5087890625
,243.6770796,1.513671875
,243.6777641,1.5185546875
,243.6955576,1.5234375
,243.7304265,1.5283203125
,243.7521735,1.533203125
,243.7583831,1.533203125
,243.7938456,1.533203125
,243.7942946,1.533203125
,243.8317604,1.5283203125
,243.86317,1.5283203125
,243.8638273,1.5283203125
,243.874488,1.5234375
,243.9115641,1.5234375
,243.9315798,1.5185546875
,243.9374757,1.5185546875
,243.9718738,1.5185546875
,243.9945498,1.513671875
,243.995212,1.5087890625
,244.0375405,1.5087890625
,244.0381908,1.5087890625
,244.067866,1.50390625
,244.0774154,1.4990234375
,244.1144789,1.4990234375
,244.1173658,1.494140625
,244.134239,1.494140625
,244.178484,1.494140625
,244.1790443,1.4892578125
,244.1944047,1.484375
,244.2154589,1.484375
,244.2571708,1.484375
,244.2576147,1.484375
,244.2935473,1.4794921875
,244.2965237,1.4794921875
,244.3348063,1.4794921875
,244.3558106,1.4794921875
,244.3564346,1.474609375
,244.3769093,1.474609375
,244.3955609,1.4794921875
,244.4295204,1.484375
,244.4505209,1.494140625
,244.4578443,1.4990234375
,244.4941015,1.5087890625
,244.4974072,1.513671875
,244.5378761,1.5234375
,244.538528,1.5283203125
,244.5676805,1.533203125
,244.5749409,1.5380859375
,244.6141529,1.5380859375
,244.634106,1.5380859375
,244.6376009,1.54296875
,244.6801801,1.5380859375
,244.681098,1.5380859375
,244.6959312,1.533203125
,244.7153124,1.533203125
,244.757214,1.533203125
,244.7578715,1.5283203125
,244.7783758,1.5234375
,244.8214527,1.5234375
,244.8219041,1.5185546875
,244.8381818,1.5185546875
,244.8744402,1.513671875
,244.8751673,1.5087890625
,244.9142022,1.5087890625
,244.9365146,1.50390625
,244.9373021,1.50390625
,244.9570019,1.4990234375
,244.9947606,1.494140625
,244.9993885,1.494140625
,245.0187635,1.494140625
,245.0555143,1.4892578125
,245.0611815,1.4892578125
,245.0754009,1.484375
,245.114393,1.484375
,245.1149335,1.484375
,245.1648326,1.4794921875
,245.1652789,1.4794921875
,245.1945632,1.474609375
,245.1970845,1.474609375
,245.2421759,1.474609375
,245.24261,1.474609375
,245.2641432,1.474609375
,245.2762081,1.474609375
,245.3135297,1.4794921875
,245.3164924,1.4892578125
,245.3519554,1.4990234375
,245.3724453,1.50390625
,245.3801298,1.513671875
,245.4153503,1.5185546875
,245.4157972,1.5234375
,245.4497336,1.5283203125
,245.4698895,1.533203125
,245.4780966,1.533203125
,245.527371,1.533203125
,245.5278385,1.533203125
,245.5400121,1.533203125
,245.5599147,1.533203125
,245.59457,1.5283203125
,245.614741,1.5283203125
,245.6151923,1.5283203125
,245.6536187,1.5283203125
,245.6577386,1.5234375
,245.6942834,1.5185546875
,245.6998789,1.5185546875
,245.7201979,1.513671875
,245.7543358,1.513671875
,245.7600933,1.5087890625
,245.7951816,1.50390625
,245.800944,1.50390625
,245.817637,1.50390625
,245.8389606,1.4990234375
,245.8739142,1.4990234375
,245.8768947,1.494140625
,245.9132163,1.494140625
,245.934431,1.494140625
,245.9399773,1.4892578125
,245.9603614,1.4892578125
,245.9778529,1.484375
,246.0144866,1.484375
,246.0189179,1.484375
,246.0398055,1.484375
,246.058645,1.4794921875
,246.0941158,1.4794921875
,246.1199375,1.4794921875
,246.1203985,1.484375
,246.1575506,1.494140625
,246.15831,1.4990234375
,246.1956191,1.50390625
,246.1982941,1.513671875
,246.2358339,1.5185546875
,246.2363482,1.5234375
,246.2751501,1.5283203125
,246.2948031,1.533203125
,246.3005492,1.533203125
,246.3156214,1.533203125
,246.351839,1.533203125
,246.357469,1.533203125
,246.3768321,1.5283203125
,246.4168243,1.5283203125
,246.417499,1.5283203125
,246.4521994,1.5283203125
,246.4734359,1.5234375
,246.4813139,1.5185546875
,246.5175566,1.5185546875
,246.520539,1.5185546875
,246.5372765,1.513671875
,246.5889309,1.513671875
,246.5895792,1.5087890625
,246.5980574,1.5087890625
,246.6343967,1.50390625
,246.6551052,1.50390625
,246.6608039,1.4990234375
,246.6972783,1.494140625
,246.6982876,1.494140625
,246.7178476,1.494140625
,246.7528007,1.4892578125
,246.7754919,1.4892578125
,246.7809076,1.484375
,246.8004642,1.484375
,246.8355898,1.484375
,246.8401261,1.484375
,246.8743525,1.4794921875
,246.8942723,1.4794921875
,246.8993026,1.4794921875
,246.9191971,1.4794921875
,246.9390949,1.484375
,246.9758108,1.4892578125
,246.9796321,1.494140625
,247.0161886,1.50390625
,247.0206344,1.513671875
,247.0578941,1.5234375
,247.0585027,1.5283203125
,247.0944728,1.533203125
,247.0996558,1.5380859375
,247.1224907,1.54296875
,247.1405247,1.5478515625
,247.174061,1.54296875
,247.1948355,1.54296875
,247.1998538,1.54296875
,247.2221085,1.54296875
,247.2606979,1.5380859375
,247.2611745,1.5380859375
,247.2966291,1.533203125
,247.2994248,1.533203125
,247.3379842,1.533203125
,247.3384427,1.5283203125
,247.3729794,1.5234375
,247.3937474,1.5185546875
,247.4032178,1.5185546875
,247.4397789,1.5185546875
,247.4404303,1.513671875
,247.4750874,1.5087890625
,247.4803715,1.50390625
,247.5012178,1.50390625
,247.552384,1.50390625
,247.5528364,1.4990234375
,247.5609015,1.494140625
,247.5975566,1.494140625
,247.5980555,1.494140625
,247.6351172,1.494140625
,247.6399274,1.4892578125
,247.660866,1.4892578125
,247.6823048,1.484375
,247.7189349,1.484375
,247.7245777,1.484375
,247.7601018,1.484375
,247.7607773,1.4794921875
,247.7951813,1.4794921875
,247.8025205,1.484375
,247.8203784,1.4892578125
,247.8646324,1.4990234375
,247.8651681,1.50390625
,247.8799798,1.513671875
,247.9151526,1.5234375
,247.9358464,1.533203125
,247.9432151,1.5380859375
,247.962717,1.54296875
,247.9803276,1.54296875
,248.0157356,1.5478515625
,248.0215164,1.552734375
,248.0417182,1.5478515625
,248.060979,1.5478515625
,248.0978222,1.54296875
,248.1030027,1.54296875
,248.139234,1.54296875
,248.1421431,1.5380859375
,248.1605402,1.533203125
,248.1957435,1.533203125
,248.2005124,1.5283203125
,248.2351254,1.5283203125
,248.255874,1.5234375
,248.2632695,1.5185546875
,248.3006794,1.5185546875
,248.3013374,1.513671875
,248.338802,1.513671875
,248.3392672,1.5087890625
,248.3756392,1.50390625
,248.3818413,1.50390625
,248.4026211,1.50390625
,248.4381524,1.4990234375
,248.4427676,1.494140625
,248.4796676,1.4892578125
,248.4852183,1.4892578125
,248.4993154,1.4892578125
,248.5336341,1.4892578125
,248.5548037,1.484375
,248.5627035,1.484375
,248.5833093,1.4794921875
,248.6008244,1.4794921875
,248.6392094,1.4794921875
,248.6424901,1.4794921875
,248.6788747,1.4794921875
,248.7067628,1.484375
,248.7072125,1.494140625
,248.7200176,1.4990234375
,248.7721691,1.5087890625
,248.7727736,1.513671875
,248.7829424,1.5234375
,248.8348863,1.533203125
,248.8353372,1.5380859375
,248.8433027,1.5380859375
,248.8785655,1.54296875
,248.8992042,1.54296875
,248.9026425,1.54296875
,248.9209391,1.54296875
,248.9736638,1.5380859375
,248.9742491,1.5380859375
,248.9820861,1.533203125
,249.0212368,1.533203125
,249.0241945,1.533203125
,249.0659004,1.5283203125
,249.0664237,1.5234375
,249.0814764,1.5234375
,249.1168318,1.5234375
,249.13854,1.5185546875
,249.1415669,1.513671875
,249.1917676,1.513671875
,249.1924231,1.5087890625
,249.2219063,1.5087890625
,249.2224054,1.50390625
,249.2580198,1.50390625
,249.2610572,1.4990234375
,249.29863,1.4990234375
,249.301457,1.4990234375
,249.3392864,1.494140625
,249.3433904,1.4892578125
,249.3807916,1.4892578125
,249.3837443,1.4892578125
,249.420055,1.4892578125
,249.4250027,1.484375
,249.4413201,1.484375
,249.4792362,1.4794921875
,249.480123,1.484375
,249.5150975,1.4892578125
,249.5357238,1.494140625
,249.543487,1.4990234375
,249.5832839,1.5087890625
,249.5839398,1.5185546875
,249.6275565,1.5283203125
,249.627994,1.533203125
,249.6413042,1.5380859375
,249.6778625,1.54296875
,249.6838581,1.5478515625
,249.7238225,1.5478515625
,249.7530177,1.5478515625
,249.7536906,1.5478515625
,249.7662943,1.54296875
,249.7813667,1.54296875
