fs,t,y
50.668416348575555,0.19359789999999988,1.455078125
,0.2137901000000002,1.484375
,0.23256999999999994,1.552734375
,0.2684137,1.6259765625
,0.2730006999999999,1.69921875
,0.3096846000000002,1.748046875
,0.3156243999999999,1.787109375
,0.3334790999999999,1.8115234375
,0.36717900000000014,1.8408203125
,0.37274850000000015,1.8505859375
,0.3929265000000002,1.85546875
,0.41405920000000007,1.8505859375
,0.4513788000000001,1.8310546875
,0.45378810000000014,1.806640625
,0.49047209999999986,1.787109375
,0.4949772000000001,1.767578125
,0.5113599,1.7578125
,0.5483592000000002,1.7529296875
,0.5511149999999998,1.7431640625
,0.5914638999999999,1.7333984375
,0.5922450000000001,1.7236328125
,0.6283484000000001,1.7138671875
,0.6493215000000001,1.69921875
,0.6782933,1.6845703125
,0.6955138000000001,1.669921875
,0.6961583,1.6552734375
,0.7122087000000001,1.640625
,0.7482489999999999,1.630859375
,0.7528527,1.6162109375
,0.8013273000000001,1.6064453125
,0.8016584,1.6015625
,0.8165886000000002,1.591796875
,0.8632607000000001,1.58203125
,0.8639161,1.5771484375
,0.8724500000000002,1.572265625
,0.9103102000000001,1.5673828125
,0.9121896999999999,1.5576171875
,0.9336312000000002,1.5478515625
,0.9699838000000001,1.54296875
,0.9722274999999998,1.5576171875
,1.0090968999999999,1.62109375
,1.0327685999999998,1.6943359375
,1.0647938,1.767578125
,1.0652281000000001,1.8212890625
,1.0725246,1.865234375
,1.1085669,1.8896484375
,1.1140674000000002,1.9189453125
,1.1346675,1.9287109375
,1.1539763,1.93359375
,1.1889337000000002,1.93359375
,1.2093067999999998,1.9189453125
,1.2157996,1.89453125
,1.2315531000000002,1.875
,1.2673947,1.8603515625
,1.2740709,1.8505859375
,1.2943183999999999,1.8408203125
,1.3282929,1.8310546875
,1.3498337,1.8212890625
,1.3549395,1.8115234375
,1.394393,1.8017578125
,1.3949951,1.787109375
,1.4145564,1.77734375
,1.4331296,1.7626953125
,1.4541347999999998,1.748046875
,1.4909947,1.7333984375
,1.4936618,1.7138671875
,1.5317037999999998,1.7041015625
,1.5361030000000002,1.689453125
,1.5543455000000002,1.6748046875
,1.5744064999999998,1.6650390625
,1.6112055,1.66015625
,1.6118434000000001,1.650390625
,1.6499880999999998,1.650390625
,1.6531666999999999,1.640625
,1.6903175,1.630859375
,1.6955087999999998,1.6162109375
,1.7356432000000002,1.6064453125
,1.7362992,1.5966796875
,1.7571075999999999,1.591796875
,1.7968924999999998,1.6162109375
,1.7974937999999998,1.6748046875
,1.813739,1.7578125
,1.8577914999999998,1.8212890625
,1.8584785,1.8798828125
,1.8916577,1.9189453125
,1.8989539,1.953125
,1.9158624,1.97265625
,1.9533432,1.9921875
,1.9538308,1.9970703125
,1.9749116,1.9970703125
,1.9943382,1.982421875
,2.0303075,1.962890625
,2.0341249,1.943359375
,2.0770241,1.93359375
,2.0776861,1.923828125
,2.0965723,1.9189453125
,2.1322286999999998,1.9140625
,2.1330183,1.904296875
,2.1685228,1.8994140625
,2.1730814,1.8896484375
,2.209351,1.875
,2.2329103999999997,1.8603515625
,2.235855,1.845703125
,2.2732336,1.8310546875
,2.2761579999999997,1.81640625
,2.2928808,1.8017578125
,2.3135193000000003,1.7919921875
,2.3358188,1.77734375
,2.3701122999999997,1.767578125
,2.3754283000000003,1.7578125
,2.4095690999999997,1.7529296875
,2.4298495000000004,1.748046875
,2.4382371000000003,1.73828125
,2.4577716,1.728515625
,2.4774065,1.7138671875
,2.515879,1.7041015625
,2.5162927,1.689453125
,2.5573873999999996,1.6796875
,2.5577936,1.6748046875
,2.5771287999999997,1.6796875
,2.5974983,1.71875
,2.6319187,1.796875
,2.6514688,1.865234375
,2.6570335,1.93359375
,2.6731584,1.9775390625
,2.7063772999999998,2.0166015625
,2.7270122,2.05078125
,2.7380502,2.0703125
,2.7566563000000004,2.0849609375
,2.790941,2.08984375
,2.8110668,2.0849609375
,2.8200529000000003,2.0703125
,2.8392048,2.0556640625
,2.8557248,2.0458984375
,2.9010048,2.041015625
,2.9017891999999996,2.041015625
,2.9164277,2.041015625
,2.9369464,2.0361328125
,2.9583699,2.03125
,2.9757985,2.0166015625
,3.0127322000000003,2.0068359375
,3.0131240999999997,1.9921875
,3.0564612,1.982421875
,3.0725138999999997,1.9677734375
,3.0798227000000002,1.9580078125
,3.0967086999999998,1.943359375
,3.1329822,1.9287109375
,3.1347838,1.9140625
,3.1700432000000003,1.904296875
,3.1963992,1.8896484375
,3.1968313999999998,1.8798828125
,3.2349952999999996,1.8701171875
,3.2353750999999997,1.85546875
,3.2720493,1.845703125
,3.2763039999999997,1.8310546875
,3.2980675,1.8212890625
,3.3326851,1.806640625
,3.3380082,1.8017578125
,3.3740007,1.8115234375
,3.3777112999999996,1.85546875
,3.4297826000000002,1.9287109375
,3.4301038000000004,1.9921875
,3.4378795,2.0556640625
,3.4572522,2.099609375
,3.4933078999999996,2.138671875
,3.4990854000000002,2.16796875
,3.5176366000000003,2.1875
,3.5547171000000004,2.2021484375
,3.5599619999999996,2.20703125
,3.5755017000000002,2.2021484375
,3.5958566000000003,2.1875
,3.6168414,2.177734375
,3.6386996,2.1728515625
,3.6570042000000003,2.1630859375
,3.6948040000000004,2.1630859375
,3.6995147,2.158203125
,3.7201060999999997,2.1484375
,3.7389422999999997,2.138671875
,3.7568450999999996,2.1240234375
,3.7766707999999998,2.109375
,3.7967161999999997,2.0947265625
,3.8330667,2.0751953125
,3.8638364000000003,2.060546875
,3.864339,2.041015625
,3.8789285,2.021484375
,3.9148283,2.0068359375
