Time,PPG_Signal
0.5633389,0.78125
0.5695559,0.8837890625
0.6044542,1.083984375
0.6048174,1.279296875
0.6384767,1.455078125
0.6685996,1.5771484375
0.6689083,1.669921875
0.7033527,1.7236328125
0.7076109,1.7626953125
0.7419473,1.767578125
0.7472295,1.7529296875
0.7807656,1.7236328125
0.7827445,1.689453125
0.8171543,1.6357421875
0.836908,1.591796875
0.8477188,1.552734375
0.8836206,1.533203125
0.8854427,1.5234375
0.9204434,1.494140625
0.9407264,1.4599609375
0.9426905,1.4208984375
0.9893775,1.3916015625
0.9895637,1.357421875
1.0094473,1.3134765625
1.0274817,1.26953125
1.0462993,1.2255859375
1.0818583,1.1865234375
1.1025962,1.1572265625
1.1029792,1.1181640625
1.1361551,1.0888671875
1.1576298,1.025390625
1.1661037,1.0205078125
1.2049344,1.005859375
1.2052313,0.99609375
1.2421819,0.9716796875
1.275458,0.9423828125
1.275795,0.9375
1.2884354,0.927734375
1.3340873,0.9033203125
1.3343755,0.87890625
1.3541796,0.8642578125
1.3676601,0.859375
1.4035847,0.9033203125
1.4082702,1.0205078125
1.4440752,1.2060546875
1.4502187,1.3720703125
1.4708813,1.5234375
1.4867952,1.630859375
1.5070947,1.708984375
1.5479542,1.7626953125
1.5481869,1.77734375
1.5810342,1.796875
1.5854302,1.7919921875
1.6266196,1.767578125
1.6571794,1.71875
1.6573874,1.6650390625
1.6664107,1.6259765625
1.6858192,1.6064453125
1.7366685,1.58203125
1.7370518,1.5625
1.7684832,1.533203125
1.768825,1.513671875
1.8137076,1.4794921875
1.813893,1.435546875
1.8244051,1.38671875
1.8602097,1.3525390625
1.8647211,1.318359375
1.9077871,1.2841796875
1.9079677,1.2353515625
1.9269303,1.19140625
1.9602213,1.15234375
1.9804418,1.123046875
1.9884654,1.09375
2.0085042,1.0595703125
2.0525853,1.005859375
2.0530995,0.986328125
2.0731662,0.9912109375
2.0870464,0.986328125
2.1212448,0.9814453125
2.1437366,0.966796875
2.1499977,0.9521484375
2.1902009,0.9423828125
2.1904449,0.91796875
2.2121311,0.8984375
2.2280479,0.9228515625
2.2468173,1.0595703125
2.2838967,1.240234375
2.3142959,1.4208984375
2.3145574,1.552734375
2.3289525,1.6552734375
2.3694311,1.7236328125
2.3696093,1.787109375
2.3910821,1.81640625
2.4059943,1.8359375
2.4497769,1.8359375
2.4501675,1.8115234375
2.4790038,1.7724609375
2.4885568,1.7333984375
2.5103632,1.6796875
2.5564355,1.640625
2.5567241,1.611328125
2.5680649,1.5869140625
2.6033315,1.5673828125
2.6052316,1.533203125
2.6377579,1.494140625
2.6585567,1.4501953125
2.6684875,1.4111328125
2.704139,1.357421875
2.724538,1.30859375
2.724716,1.25
2.760771,1.2109375
2.7668439,1.1767578125
2.8020433,1.142578125
2.8248673,1.1083984375
2.8269385,1.0693359375
2.8631755,1.0400390625
2.8847301,1.015625
2.8896625,0.9912109375
2.9249049,0.966796875
2.9449548,0.9423828125
2.9451386,0.9228515625
2.9881882,0.91796875
2.9883635,0.908203125
3.0089892,0.888671875
3.0455532,0.8642578125
3.0474044,0.849609375
3.0803772,0.849609375
3.1016162,0.927734375
3.1063291,1.07421875
3.1415203,1.279296875
3.1636035,1.4599609375
3.1679896,1.591796875
3.2092348,1.6845703125
3.2095226,1.7431640625
3.2294458,1.7822265625
3.2630902,1.796875
3.2842584,1.806640625
3.2844334,1.787109375
3.3365258,1.7529296875
3.3368333,1.708984375
3.3667398,1.6650390625
3.366926,1.6357421875
3.4059578,1.6162109375
3.4080367,1.591796875
3.4438338,1.5625
3.4657583,1.54296875
3.4660944,1.5087890625
3.5014881,1.474609375
3.5228377,1.4306640625
3.5292732,1.3818359375
3.5636856,1.3330078125
3.5682021,1.2939453125
3.6103406,1.2451171875
3.6106598,1.201171875
3.6297748,1.1474609375
3.6658082,1.1181640625
3.6662079,1.0546875
3.7029119,1.03515625
3.7224769,1.0107421875
3.7294235,0.9912109375
3.7728084,0.966796875
3.7731863,0.966796875
3.8030213,0.947265625
3.8111426,0.9326171875
3.8490532,0.9130859375
3.8493913,0.8935546875
3.8857523,0.888671875
3.8904426,0.8642578125
3.9275398,0.8740234375
