fs,t,y
50.74399843288933,238.0617277,1.474609375
,238.1073233,1.4794921875
,238.1078334,1.484375
,238.1195721,1.484375
,238.1541913,1.484375
,238.1749912,1.484375
,238.1829919,1.4892578125
,238.1971114,1.494140625
,238.2352405,1.5234375
,238.2380818,1.5576171875
,238.274125,1.640625
,238.2971447,1.7626953125
,238.3020627,1.9091796875
,238.3372381,2.0361328125
,238.3403184,2.1630859375
,238.3760343,2.2607421875
,238.3954083,2.314453125
,238.3997576,2.353515625
,238.4498982,2.3486328125
,238.4502686,2.3193359375
,238.4610529,2.2607421875
,238.4811608,2.1826171875
,238.5154845,2.099609375
,238.5356428,2.0166015625
,238.5380743,1.9482421875
,238.5755179,1.8896484375
,238.5801282,1.8408203125
,238.6160829,1.8017578125
,238.6228592,1.767578125
,238.6418056,1.7333984375
,238.6614471,1.7041015625
,238.6996407,1.6748046875
,238.7188938,1.640625
,238.7192564,1.62109375
,238.754303,1.6064453125
,238.7594156,1.5869140625
,238.7959321,1.572265625
,238.8008034,1.552734375
,238.8368569,1.5380859375
,238.8424207,1.5185546875
,238.8624248,1.513671875
,238.9042059,1.50390625
,238.9045661,1.4990234375
,238.9185836,1.4892578125
,238.9548671,1.4892578125
,238.975205,1.484375
,238.9804796,1.4892578125
,239.0008099,1.4892578125
,239.0357855,1.484375
,239.0426256,1.4892578125
,239.0624734,1.484375
,239.0983542,1.494140625
,239.1236344,1.513671875
,239.1242095,1.591796875
,239.1409216,1.7138671875
,239.1757482,1.8798828125
,239.1807579,2.05078125
,239.2178725,2.2216796875
,239.2210584,2.3681640625
,239.2593272,2.490234375
,239.259915,2.568359375
,239.2942583,2.6171875
,239.3000844,2.6171875
,239.3440226,2.5830078125
,239.3444105,2.509765625
,239.3603729,2.40234375
,239.394168,2.2705078125
,239.4135689,2.138671875
,239.4240208,2.0166015625
,239.4401025,1.9189453125
,239.4744717,1.845703125
,239.4793067,1.787109375
,239.5152395,1.7431640625
,239.5358868,1.6943359375
,239.5414009,1.6552734375
,239.5768796,1.62109375
,239.5978805,1.5869140625
,239.6026903,1.552734375
,239.6395726,1.533203125
,239.6446865,1.513671875
,239.660507,1.494140625
,239.6952342,1.4892578125
,239.7159203,1.4794921875
,239.7236417,1.4697265625
,239.7594689,1.4599609375
,239.7619886,1.46484375
,239.7973185,1.455078125
,239.8173772,1.455078125
,239.818021,1.4501953125
,239.8591944,1.455078125
,239.8908212,1.455078125
,239.891298,1.4599609375
,239.8998224,1.46484375
,239.9373875,1.4892578125
,239.958375,1.58203125
,239.9632827,1.7431640625
,240.0002721,1.9873046875
,240.000661,2.2509765625
,240.036563,2.578125
,240.045609,2.8955078125
,240.061913,3.173828125
,240.0987485,3.3447265625
,240.1042872,3.4375
,240.1236238,3.4375
,240.174214,3.3740234375
,240.1746813,3.2275390625
,240.2062663,3.0126953125
,240.2068157,2.75390625
,240.2204415,2.4853515625
,240.2558316,2.24609375
,240.2765382,2.060546875
,240.285197,1.9091796875
,240.303411,1.7919921875
,240.3382746,1.69921875
,240.3590444,1.630859375
,240.3666954,1.5673828125
,240.3809906,1.513671875
,240.4155739,1.474609375
,240.4364017,1.4306640625
,240.4452468,1.38671875
,240.4635908,1.34765625
,240.4984964,1.3134765625
,240.5043306,1.2841796875
,240.5455737,1.2646484375
,240.5462319,1.25
,240.5626795,1.2548828125
,240.5828775,1.259765625
,240.6178377,1.2646484375
,240.6228085,1.2744140625
,240.6566833,1.2744140625
,240.6777057,1.2890625
,240.683492,1.2939453125
,240.7207321,1.3037109375
,240.7213414,1.30859375
,240.7556994,1.328125
,240.7769808,1.337890625
,240.782513,1.3525390625
,240.8173865,1.3623046875
,240.8230442,1.376953125
,240.8576531,1.396484375
,240.8791178,1.4599609375
,240.879705,1.5869140625
,240.9155296,1.8408203125
,240.9212251,2.1630859375
,240.95759,2.5390625
,240.9622453,2.9638671875
,240.9985647,3.310546875
,241.0036765,3.57421875
,241.0458939,3.6767578125
,241.0464307,3.681640625
,241.0811602,3.681640625
,241.0870208,3.681640625
,241.1037977,3.57421875
,241.1384439,3.3056640625
,241.1418113,3.0078125
,241.1772535,2.6953125
,241.199962,2.431640625
,241.204521,2.197265625
,241.2393583,2.03125
,241.2616674,1.89453125
,241.2662313,1.7822265625
,241.2831958,1.6943359375
,241.3247877,1.6259765625
,241.3251826,1.5576171875
,241.3601635,1.50390625
,241.3652842,1.4453125
,241.4001105,1.396484375
,241.4048922,1.34765625
,241.439783,1.30859375
,241.460607,1.2646484375
,241.4611013,1.2353515625
,241.4949851,1.2158203125
,241.5167469,1.1962890625
,241.5234196,1.1767578125
,241.5580363,1.162109375
,241.57892,1.1474609375
,241.5842619,1.1376953125
,241.6205573,1.142578125
,241.6422535,1.1572265625
,241.6426471,1.171875
,241.6807349,1.1865234375
,241.6834777,1.2060546875
,241.7194032,1.2255859375
,241.7242707,1.240234375
,241.7618793,1.2548828125
,241.7670434,1.2548828125
,241.7881673,1.25
,241.8075232,1.259765625
,241.8233072,1.2744140625
,241.8579725,1.34765625
,241.8630749,1.5380859375
,241.8844918,1.865234375
,241.9214084,2.40234375
,241.9266942,2.96875
,241.963246,3.4765625
,241.965904,3.681640625
,242.0038726,3.6767578125
,242.004343,3.6767578125
,242.0388173,3.681640625
,242.0443385,3.681640625
,242.0795527,3.681640625
,242.0853136,3.681640625
,242.1225357,3.6767578125
,242.1247308,3.6767578125
,242.1601196,3.681640625
,242.1809195,3.681640625
,242.1815127,3.6767578125
,242.2244338,3.6767578125
,242.224799,3.4619140625
,242.2447513,3.1591796875
,242.2811131,2.900390625
,242.2856565,2.6708984375
,242.3229486,2.470703125
,242.3259395,2.28515625
,242.3418862,2.109375
,242.3790164,1.9287109375
,242.3988267,1.728515625
,242.4036027,1.50390625
,242.4394019,1.298828125
,242.4735081,1.1083984375
,242.4743602,0.947265625
,242.4864271,0.810546875
,242.522354,0.7080078125
,242.5293875,0.6298828125
,242.5485146,0.56640625
,242.5656177,0.517578125
,242.6004897,0.48828125
,242.6044603,0.458984375
,242.6453441,0.439453125
,242.6459268,0.419921875
,242.665715,0.4150390625
,242.7006576,0.4150390625
,242.7228476,0.44921875
,242.7232449,0.478515625
,242.770331,0.5029296875
,242.7708469,0.537109375
,242.7864733,0.5908203125
,242.8340322,0.6689453125
,242.8346291,0.830078125
,242.8652247,1.181640625
,242.8657113,1.7431640625
,242.9025359,2.3828125
,242.9028973,2.8857421875
,242.9440494,3.359375
,242.9444077,3.6767578125
,242.9670255,3.681640625
,243.0022185,3.681640625
,243.0049953,3.6767578125
,243.0528637,3.6767578125
,243.0533537,3.681640625
,243.0836069,3.681640625
,243.0880574,3.6767578125
,243.1044388,3.6767578125
,243.1461639,3.6669921875
,243.1466215,3.2373046875
,243.1811343,2.783203125
,243.185705,2.3193359375
,243.2202369,1.923828125
,243.2425205,1.5869140625
,243.2495156,1.328125
,243.286263,1.1083984375
,243.2867704,0.947265625
,243.323433,0.8251953125
,243.3240433,0.7177734375
,243.3605165,0.6201171875
,243.3809244,0.537109375
,243.3859007,0.4638671875
,243.4219582,0.41015625
,243.4446648,0.3955078125
,243.4451385,0.3857421875
,243.4828055,0.3662109375
,243.4877693,0.3564453125
,243.507996,0.3515625
,243.5419534,0.37109375
,243.5467557,0.3955078125
,243.5825363,0.4248046875
,243.5829059,0.4541015625
,243.6081619,0.5224609375
,243.6247509,0.5517578125
,243.6604348,0.6005859375
,243.6813038,0.6494140625
,243.6852887,0.6982421875
,243.7207144,0.7421875
,243.7406921,0.7861328125
,243.7469695,0.830078125
,243.7838109,0.9033203125
,243.7885437,1.07421875
,243.8106368,1.4306640625
,243.8290349,2.0361328125
,243.8474639,2.6708984375
,243.8966634,3.291015625
,243.8972732,3.681640625
,243.9093332,3.6767578125
,243.9293976,3.681640625
,243.9654984,3.681640625
,243.967996,3.681640625
,244.0057606,3.681640625
,244.0062193,3.681640625
,244.0250557,3.6767578125
,244.0622385,3.681640625
,244.067625,3.681640625
,244.1021122,3.681640625
,244.1224019,3.5693359375
,244.1274969,3.3154296875
,244.1627393,3.0859375
,244.1825101,2.8564453125
,244.1833535,2.646484375
,244.2205746,2.431640625
,244.2407098,2.2265625
,244.247998,2.0166015625
,244.2837795,1.81640625
,244.2892082,1.6162109375
,244.3266382,1.4306640625
,244.3270882,1.240234375
,244.3639779,1.0595703125
,244.3645767,0.9033203125
,244.4000056,0.771484375
,244.4209827,0.6640625
,244.428251,0.5908203125
,244.4645144,0.537109375
,244.4677604,0.4931640625
,244.5187609,0.458984375
,244.5194878,0.458984375
,244.5492429,0.4638671875
,244.5496092,0.4541015625
,244.5841801,0.4541015625
,244.5888781,0.458984375
,244.6240351,0.478515625
,244.6267509,0.5859375
,244.6611209,0.908203125
,244.6822012,1.58203125
,244.6895145,2.2802734375
,244.7251694,2.9541015625
,244.7460518,3.53515625
,244.7465759,3.6767578125
,244.7827555,3.681640625
,244.8023426,3.681640625
,244.8100299,3.6767578125
,244.8459691,3.6767578125
,244.8477103,3.681640625
,244.8825745,3.681640625
,244.9130751,3.681640625
,244.9136679,3.6767578125
,244.926817,3.6767578125
,244.9761021,3.6767578125
,244.9767017,3.681640625
,244.9903441,3.5986328125
,245.035875,3.359375
,245.0362458,3.134765625
,245.050541,2.890625
,245.0846195,2.6513671875
,245.1054317,2.412109375
,245.1078538,2.1630859375
,245.1288135,1.93359375
,245.1624205,1.6943359375
,245.1825106,1.455078125
,245.1899063,1.2060546875
,245.2273154,0.9716796875
,245.231236,0.7373046875
,245.2517167,0.52734375
,245.2677362,0.3125
,245.3023113,0.146484375
,245.3231942,0.0048828125
,245.328621,0.0048828125
,245.3643581,0.0048828125
,245.3647326,0.0048828125
,245.400365,0.0048828125
,245.4214133,0.0048828125
,245.4288653,0.0048828125
,245.4649585,0.0048828125
,245.4851387,0.0048828125
,245.4859272,0.0048828125
,245.5209765,0.0048828125
,245.541866,0.0048828125
,245.5485236,0.0048828125
,245.5825955,0.0048828125
,245.6025631,0.5078125
,245.6113938,1.2939453125
,245.6278295,2.0458984375
,245.6631165,2.763671875
,245.6832428,3.33984375
,245.6896005,3.681640625
,245.7255843,3.681640625
,245.7304576,3.6767578125
,245.7665905,3.6767578125
,245.7715861,3.6767578125
,245.8069628,3.681640625
,245.8073313,3.681640625
,245.8441069,3.6767578125
,245.8782875,3.681640625
,245.878777,3.681640625
,245.8887025,3.53515625
,245.9231606,3.2861328125
,245.9439626,3.0419921875
,245.9521116,2.802734375
,245.9719782,2.5634765625
,245.9938939,2.3046875
,246.0100716,2.05078125
,246.0435521,1.826171875
,246.0514999,1.5771484375
,246.0943384,1.3330078125
,246.0947285,1.07421875
,246.1118207,0.8447265625
,246.1583726,0.6103515625
,246.1587488,0.4052734375
,246.1690953,0.234375
,246.2053482,0.087890625
,246.209564,0.0048828125
,246.2530398,0.0048828125
,246.2534975,0.0048828125
,246.2664079,0.0048828125
,246.30218,0.0048828125
,246.3237222,0.0048828125
,246.3292825,0.0048828125
,246.3637145,0.0048828125
,246.383728,0.0048828125
,246.3886955,0.0048828125
,246.4258549,0.0048828125
,246.45468,0.0048828125
,246.4550533,0.0048828125
,246.4693885,0.0048828125
,246.5043388,0.0048828125
,246.5244479,0.05859375
,246.5300244,0.2392578125
,246.5792141,0.693359375
,246.5795851,1.4111328125
,246.5891298,2.20703125
,246.6244578,2.8662109375
,246.6451751,3.49609375
,246.6524127,3.6767578125
,246.6922697,3.6767578125
,246.6926441,3.681640625
,246.7135579,3.681640625
,246.7562604,3.6767578125
,246.7566342,3.6767578125
,246.7702197,3.6767578125
,246.8065251,3.681640625
,246.8325024,3.6767578125
,246.8328689,3.6767578125
,246.880521,3.6767578125
,246.8811189,3.5595703125
,246.8936193,3.3251953125
,246.9086116,3.10546875
,246.9432962,2.8955078125
,246.9723741,2.685546875
,246.9728584,2.4609375
,247.0199832,2.2314453125
,247.0203539,2.001953125
,247.0310507,1.7626953125
,247.0647167,1.5234375
,247.0862563,1.2646484375
,247.0921984,1.0009765625
