Time,PPG_Signal
0.4016974,1.1865234375
0.4019997,1.1962890625
0.4174857,1.2060546875
0.4608322,1.1962890625
0.461185,1.1962890625
0.4793635,1.1962890625
0.5123839,1.2158203125
0.518939,1.240234375
0.5642821,1.2890625
0.5645968,1.3330078125
0.5856916,1.38671875
0.5965841,1.42578125
0.6169167,1.455078125
0.6533863,1.4697265625
0.6574278,1.4794921875
0.6996241,1.474609375
0.6999017,1.4599609375
0.7213303,1.4404296875
0.7391585,1.4111328125
0.7599695,1.357421875
0.7781249,1.318359375
0.8246769,1.3232421875
0.8249261,1.318359375
0.8382753,1.3134765625
0.8733376,1.3037109375
0.8795595,1.2939453125
0.8986897,1.2744140625
0.9346542,1.2646484375
0.9549618,1.25
0.9552068,1.240234375
0.9887329,1.2255859375
1.0101539,1.2158203125
1.0168963,1.201171875
1.0522641,1.1962890625
1.0711315,1.19140625
1.0799791,1.181640625
1.1265817,1.181640625
1.1309198,1.181640625
1.1385389,1.181640625
1.1746824,1.1767578125
1.1771492,1.1767578125
1.2221616,1.171875
1.2225001,1.171875
1.2508444,1.181640625
1.2594669,1.2060546875
1.2770398,1.2548828125
1.3139916,1.3232421875
1.3159581,1.3818359375
1.3498531,1.4306640625
1.3690804,1.474609375
1.377435,1.494140625
1.4116633,1.5087890625
1.4388332,1.5087890625
1.4390834,1.50390625
1.4573422,1.4794921875
1.5000945,1.4599609375
1.5006328,1.435546875
1.5180798,1.4111328125
1.5538662,1.38671875
1.5788394,1.3720703125
1.5790915,1.34765625
1.613887,1.337890625
1.6410601,1.318359375
1.6413502,1.298828125
1.6570923,1.279296875
1.6932312,1.26953125
1.698457,1.259765625
1.7276354,1.2451171875
1.739828,1.23046875
1.7895958,1.2109375
1.7900209,1.1962890625
1.8015511,1.181640625
1.8229902,1.1767578125
1.8382412,1.1767578125
1.8733127,1.181640625
1.8774959,1.181640625
1.9120974,1.1767578125
1.9327669,1.171875
1.9400055,1.171875
1.9768924,1.162109375
1.9811915,1.162109375
2.0227213,1.181640625
2.023382,1.2158203125
2.0370011,1.26953125
2.0726156,1.318359375
2.0980714,1.3720703125
2.100099,1.4111328125
2.1333964,1.4453125
2.1609911,1.4599609375
2.1612472,1.474609375
2.1771442,1.4697265625
2.2142984,1.4697265625
2.2202079,1.4501953125
2.2558629,1.4306640625
2.2600765,1.4013671875
2.2962204,1.3720703125
2.2988176,1.34765625
2.343041,1.337890625
2.3434567,1.3232421875
2.3593649,1.3037109375
2.3825344,1.2939453125
2.3993903,1.2451171875
2.4192946,1.240234375
2.4488015,1.2353515625
2.4614578,1.2255859375
2.5078103,1.2109375
2.5080923,1.201171875
2.5228793,1.181640625
2.5419616,1.1669921875
2.558483,1.15234375
2.5962225,1.1474609375
2.6166644,1.142578125
2.6198864,1.142578125
2.6560981,1.15234375
2.6614066,1.1474609375
2.6962342,1.1474609375
2.7230745,1.1376953125
2.7234756,1.1328125
2.7381994,1.1279296875
2.772028,1.1376953125
2.7935837,1.162109375
2.7987293,1.201171875
2.8461767,1.2451171875
2.8465809,1.3037109375
2.8674033,1.3427734375
2.8805419,1.3818359375
2.9149501,1.4013671875
2.9198718,1.4208984375
2.9399305,1.4306640625
2.987581,1.435546875
2.9879101,1.4208984375
3.0003348,1.4013671875
3.0358308,1.3818359375
3.0433279,1.357421875
3.0628476,1.337890625
3.0781555,1.3134765625
3.1413094,1.30859375
3.1416514,1.2939453125
3.1460119,1.2841796875
3.1596498,1.26953125
3.2044609,1.2548828125
3.2048597,1.2353515625
3.2246507,1.23046875
3.2571015,1.2109375
3.2621512,1.1962890625
3.2965313,1.181640625
3.3276435,1.1669921875
3.3279857,1.1572265625
3.3401304,1.1572265625
3.3757334,1.1572265625
3.4053465,1.15234375
3.4057547,1.15234375
3.4385931,1.142578125
3.4425027,1.1376953125
3.4594802,1.1328125
3.4982282,1.1328125
3.5004731,1.1328125
3.5415865,1.1328125
3.5589086,1.1376953125
3.5609417,1.162109375
3.6065521,1.1962890625
3.6068863,1.25
3.6350987,1.298828125
3.6395811,1.337890625
3.6816391,1.376953125
3.6820323,1.4013671875
3.7022919,1.4111328125
3.7338732,1.416015625
3.7603985,1.416015625
3.7606462,1.4013671875
3.796607,1.3818359375
3.8232381,1.3623046875
3.8234915,1.34765625
3.8404809,1.3330078125
3.8805009,1.328125
3.9147823,1.318359375
3.9151337,1.30859375
3.9232781,1.298828125
3.9604265,1.2841796875
3.9606706,1.26953125
3.9830273,1.25
4.0091319,1.2451171875
4.0187834,1.2255859375
4.0556032,1.220703125
4.0770613,1.2060546875
4.0813801,1.1962890625
4.1246372,1.181640625
4.1249248,1.1767578125
4.1455004,1.1669921875
4.1810698,1.1572265625
4.1814144,1.1474609375
4.2192175,1.1474609375
4.2195777,1.1376953125
4.2641986,1.142578125
4.2644832,1.1376953125
