Time,PPG_Signal
0.6572098,0.8154296875
0.6930781,0.8544921875
0.6933963,0.9521484375
0.7296858,1.11328125
0.750579,1.2646484375
0.7556301,1.42578125
0.7908434,1.5478515625
0.7961938,1.6552734375
0.8475919,1.71875
0.8479885,1.7626953125
0.853691,1.77734375
0.8886481,1.7822265625
0.9093367,1.7578125
0.9145251,1.7138671875
0.9503223,1.650390625
0.9721128,1.5966796875
0.9774438,1.5478515625
1.019241,1.50390625
1.0200591,1.4697265625
1.0352022,1.4404296875
1.0566284,1.4208984375
1.075202,1.396484375
1.1264833,1.376953125
1.1268103,1.34765625
1.1356649,1.3134765625
1.1698277,1.279296875
1.1913248,1.2451171875
1.1983347,1.2060546875
1.2356332,1.15234375
1.2360971,1.123046875
1.2711846,1.103515625
1.2767048,1.083984375
1.3159684,1.0595703125
1.3162788,1.0400390625
1.3614131,1.0205078125
1.3618568,1.0107421875
1.3905788,0.9912109375
1.3989144,0.9765625
1.4142707,0.95703125
1.4491727,0.9423828125
1.4703893,0.927734375
1.4774609,0.9326171875
1.4972933,0.947265625
1.5478754,1.015625
1.548408,1.1279296875
1.5594195,1.2744140625
1.5755464,1.416015625
1.6123336,1.5576171875
1.616401,1.6748046875
1.6565355,1.748046875
1.657055,1.8017578125
1.7043155,1.8212890625
1.7046459,1.826171875
1.7171224,1.806640625
1.7504573,1.7724609375
1.7708349,1.71875
1.7749967,1.6650390625
1.8091024,1.611328125
1.830174,1.5673828125
1.8379111,1.5283203125
1.87781,1.4990234375
1.87811,1.474609375
1.9156835,1.4501953125
1.9177612,1.42578125
1.9342386,1.3916015625
1.9689629,1.3720703125
1.9890395,1.3427734375
1.9961538,1.3134765625
2.0335358,1.279296875
2.0380447,1.240234375
2.0724851,1.2060546875
2.0930965,1.1767578125
2.0997876,1.142578125
2.1362673,1.1181640625
2.1367166,1.0888671875
2.1761356,1.07421875
2.2072671,1.0546875
2.2076106,1.03515625
2.2179954,1.005859375
2.2396354,0.9912109375
2.2756006,0.966796875
2.2809273,0.947265625
2.3171238,0.9423828125
2.3175864,0.9765625
2.3527132,1.07421875
2.3564144,1.201171875
2.3899608,1.3525390625
2.4104122,1.484375
2.4192305,1.611328125
2.4689836,1.69921875
2.4692872,1.767578125
2.4757185,1.8017578125
2.5098526,1.8310546875
2.5310721,1.8359375
2.5371297,1.806640625
2.578098,1.767578125
2.5785443,1.7138671875
2.5984307,1.650390625
2.6336683,1.5966796875
2.6542936,1.552734375
2.6548065,1.513671875
2.7035251,1.494140625
2.7038201,1.46484375
2.7247841,1.4404296875
2.7383352,1.4111328125
2.7751073,1.38671875
2.7767874,1.3525390625
2.8104586,1.318359375
2.8311227,1.2744140625
2.8422827,1.2158203125
2.8579417,1.162109375
2.8932812,1.1474609375
2.8970559,1.123046875
2.9311021,1.103515625
2.952071,1.083984375
2.9579057,1.064453125
2.9933326,1.0546875
3.0150404,1.0400390625
3.0192773,1.0302734375
3.0359366,1.0205078125
3.0731799,1.005859375
3.0774073,0.986328125
3.1118029,0.966796875
3.1310717,0.95703125
3.1386504,0.9765625
3.1719271,1.044921875
3.191832,1.162109375
3.201152,1.3037109375
3.2174807,1.435546875
3.2630169,1.5673828125
3.2633141,1.6650390625
3.2801731,1.748046875
3.2988563,1.787109375
3.3404988,1.8115234375
3.3407981,1.806640625
3.3615025,1.7919921875
3.3767637,1.748046875
3.4141072,1.7041015625
3.4166611,1.650390625
3.4648492,1.6015625
3.4652409,1.5625
3.4803316,1.5283203125
3.5267725,1.4990234375
3.5273172,1.4892578125
3.5403514,1.474609375
3.5558048,1.4501953125
3.6048835,1.42578125
3.6053557,1.396484375
3.6341221,1.3623046875
3.6385051,1.3232421875
3.6614042,1.2841796875
3.7119748,1.2451171875
3.7123801,1.2060546875
3.720696,1.171875
3.757849,1.1376953125
3.7583067,1.11328125
3.7957579,1.0986328125
3.7985943,1.0888671875
3.8347633,1.07421875
3.8375568,1.0595703125
3.8734295,1.0400390625
3.8930146,1.025390625
3.9011026,1.0009765625
3.9437289,0.9814453125
3.9440336,0.9619140625
3.9593039,0.966796875
3.9963104,0.99609375
3.9995001,1.0791015625
4.0363369,1.19140625
4.0426424,1.3330078125
4.0615736,1.455078125
4.0970692,1.572265625
4.115843,1.650390625
4.1187484,1.7138671875
4.1560422,1.7431640625
4.1590745,1.7626953125
4.2075041,1.7529296875
4.2078026,1.71875
4.2219414,1.6748046875
4.2427206,1.6162109375
4.2783331,1.5673828125
4.2786323,1.5283203125
4.3157665,1.50390625
4.318512,1.484375
4.355122,1.46484375
4.3592999,1.4453125
4.3953763,1.4208984375
