Time,PPG_Signal
0.4096373,1.1767578125
0.4611014,1.181640625
0.4613512,1.1865234375
0.4710999,1.2060546875
0.5170816,1.23046875
0.5174305,1.26953125
0.5323205,1.3037109375
0.5703932,1.337890625
0.5707143,1.3525390625
0.5901268,1.376953125
0.6260743,1.38671875
0.6301053,1.40625
0.6768828,1.40625
0.6771402,1.42578125
0.6976643,1.4306640625
0.7116847,1.4208984375
0.7477224,1.416015625
0.7726385,1.4013671875
0.7728891,1.3623046875
0.7874032,1.3330078125
0.8339337,1.34765625
0.8342531,1.3525390625
0.8637996,1.3525390625
0.870959,1.34765625
0.9068833,1.337890625
0.9369801,1.328125
0.9372235,1.3232421875
0.9494607,1.3134765625
0.9735349,1.3037109375
0.9936484,1.3037109375
1.0286477,1.2841796875
1.0292432,1.2744140625
1.0780216,1.259765625
1.0947567,1.2548828125
1.0950187,1.240234375
1.1296551,1.2353515625
1.1299838,1.2255859375
1.1668552,1.220703125
1.1695304,1.2158203125
1.204797,1.2158203125
1.2260432,1.2060546875
1.2333311,1.201171875
1.2772951,1.1962890625
1.2776053,1.19140625
1.2891758,1.1767578125
1.3275865,1.181640625
1.3279251,1.1962890625
1.3812866,1.2158203125
1.3815646,1.259765625
1.3981743,1.2890625
1.4134194,1.3232421875
1.4600615,1.3427734375
1.4603016,1.3671875
1.4686033,1.376953125
1.5056594,1.3916015625
1.5098894,1.4013671875
1.5514781,1.40625
1.5518305,1.4013671875
1.5741275,1.4013671875
1.5916075,1.38671875
1.631863,1.376953125
1.6628581,1.3671875
1.663202,1.3525390625
1.6744488,1.34765625
1.6922239,1.337890625
1.7271099,1.34765625
1.7317477,1.3427734375
1.7665293,1.3427734375
1.8008657,1.328125
1.801266,1.3232421875
1.8116097,1.30859375
1.8458423,1.298828125
1.8656087,1.2841796875
1.8700701,1.279296875
1.9078948,1.26953125
1.9125067,1.2646484375
1.9567009,1.25
1.9570425,1.25
1.9724627,1.240234375
2.0133883,1.23046875
2.0136311,1.2255859375
2.0340984,1.2158203125
2.0514941,1.2109375
2.092494,1.2060546875
2.0928123,1.2060546875
2.1134661,1.1962890625
2.1350589,1.19140625
2.1548267,1.1865234375
2.1768345,1.1865234375
2.1912307,1.1962890625
2.2265816,1.240234375
2.2308167,1.2744140625
2.2666373,1.3134765625
2.2977831,1.34765625
2.3031492,1.3671875
2.3140146,1.3818359375
2.3497412,1.3916015625
2.3539984,1.4013671875
2.371335,1.4013671875
2.4077409,1.416015625
2.410287,1.4208984375
2.4535752,1.4208984375
2.453872,1.4111328125
2.4751729,1.40625
2.4937023,1.396484375
2.529164,1.3916015625
2.5329788,1.376953125
2.5675335,1.3720703125
2.5919526,1.3525390625
2.5921963,1.357421875
2.6260819,1.34765625
2.6474014,1.337890625
2.6516618,1.3330078125
2.6855349,1.3232421875
2.7058072,1.30859375
2.7144729,1.298828125
2.7519375,1.2939453125
2.7521924,1.279296875
2.7869753,1.2744140625
2.792638,1.26953125
2.8275266,1.26953125
2.8320854,1.2548828125
2.8649018,1.2548828125
2.887335,1.2451171875
2.895612,1.240234375
2.9146077,1.2353515625
2.931982,1.2255859375
2.9802463,1.220703125
2.9806689,1.220703125
2.9929593,1.2255859375
3.0290809,1.23046875
3.0491552,1.25
3.0536356,1.2744140625
3.1063632,1.3134765625
3.1066084,1.337890625
3.1239841,1.3671875
3.1309691,1.38671875
3.1703758,1.4111328125
3.1723036,1.4208984375
3.2099407,1.4306640625
3.2418334,1.4306640625
3.242141,1.4453125
3.2549579,1.4404296875
3.2759422,1.42578125
3.2976102,1.38671875
3.3119024,1.3818359375
3.3485651,1.3818359375
3.3526994,1.376953125
3.3868376,1.3818359375
3.4107368,1.3720703125
3.412747,1.3671875
3.44508,1.357421875
3.466699,1.34765625
3.474251,1.3330078125
3.4933132,1.328125
3.513245,1.318359375
3.5485411,1.3134765625
3.5692644,1.30859375
3.5736373,1.2939453125
3.6088471,1.2841796875
3.6299746,1.26953125
3.6345874,1.2646484375
3.6697246,1.25
3.6745036,1.25
3.7122936,1.240234375
3.7127752,1.2353515625
3.7589632,1.23046875
3.7593558,1.2353515625
3.7796723,1.23046875
3.796661,1.23046875
3.8114932,1.220703125
3.852324,1.220703125
3.8527353,1.2158203125
3.9001449,1.2255859375
3.9005445,1.2451171875
3.9215309,1.26953125
3.9443262,1.30859375
3.9558375,1.337890625
3.9913364,1.3623046875
3.9916841,1.38671875
4.012497,1.4111328125
4.04761,1.4306640625
4.0685997,1.4501953125
4.0740093,1.4599609375
4.0953681,1.46484375
4.1444463,1.46484375
4.1447468,1.4599609375
4.1738645,1.4501953125
4.1756642,1.435546875
4.2090209,1.42578125
4.2296565,1.40625
4.2336856,1.4013671875
4.266015,1.3916015625
4.2877283,1.3916015625
4.2968492,1.376953125
4.3163823,1.3671875
4.3611197,1.34765625
4.3614598,1.337890625
4.3899083,1.3232421875
4.3940712,1.318359375
4.4136598,1.3037109375
4.4499526,1.298828125
4.4712911,1.2841796875
4.4760077,1.2744140625
4.5122424,1.2548828125
4.5160978,1.25
4.550934,1.2451171875
4.5753756,1.23046875
4.5756474,1.23046875
4.6216311,1.2255859375
4.6220296,1.220703125
4.6353765,1.2109375
4.6727244,1.2060546875
4.6997208,1.201171875
4.7000844,1.1962890625
4.7118034,1.1865234375
4.7441847,1.1865234375
4.7656053,1.19140625
4.774654,1.23046875
4.8235798,1.259765625
4.8238282,1.298828125
4.8356194,1.3330078125
4.871254,1.3525390625
4.9025283,1.3720703125
4.9028176,1.3818359375
4.9176815,1.3720703125
4.9350504,1.357421875
4.9714548,1.38671875
4.9735588,1.396484375
5.0070865,1.4013671875
5.0296367,1.4013671875
5.0368251,1.396484375
5.0730435,1.38671875
5.078737,1.376953125
5.0923059,1.3623046875
5.1267515,1.357421875
5.1482143,1.34765625
5.1555186,1.34765625
5.1754788,1.337890625
5.2152667,1.3232421875
5.2451803,1.30859375
5.2454789,1.2890625
5.2573259,1.279296875
5.2921054,1.2646484375
5.2923513,1.2646484375
5.3451924,1.2548828125
5.345509,1.2548828125
5.3673504,1.2451171875
5.3769968,1.2353515625
5.4280712,1.2255859375
5.4284416,1.220703125
5.4343391,1.2060546875
5.4676642,1.2109375
5.4763106,1.2060546875
5.5119346,1.1962890625
5.514246,1.1865234375
5.5489917,1.19140625
5.5716541,1.181640625
5.5777413,1.1767578125
5.6181043,1.171875
5.6184148,1.171875
5.6343871,1.1962890625
5.6665968,1.2255859375
5.6872543,1.2646484375
5.6959411,1.2841796875
5.7325708,1.3134765625
5.7373,1.3330078125
5.774685,1.34765625
5.7789358,1.357421875
